ticker,portfolio,eval_date,xgb_score,xgb_rank,ge_score,ge_rank,cb_score,cb_rank,lgb_score,lgb_rank,ensemble_score,ensemble_rank,ensemble_cb_score,ensemble_cb_rank
GOOGL,growth-evaluator,2026-04-29,89.2430278884462,55,97.41035856573706,14,33.96414342629482,333,22.31075697211155,385,90.87649402390437,39,79.82071713147411,78
GOOG,growth-evaluator,2026-04-29,85.65737051792829,73,97.21115537848605,15,33.96414342629482,332,22.31075697211155,384,87.96812749003983,51,77.62948207171316,95
TER,ml-model-2,2026-04-29,99.800796812749,2,98.80478087649402,7,95.81673306772909,22,100.0,1,99.60159362549801,2,98.80478087649402,2
SNDK,ml-model-2,2026-04-29,100.0,1,99.60159362549801,3,93.22709163346613,35,99.800796812749,2,99.9203187250996,1,98.56573705179284,3
CIEN,ml-model-2,2026-04-29,83.46613545816733,84,99.40239043824701,4,89.64143426294821,53,99.60159362549801,3,86.65338645418328,62,87.88844621513945,40
FIX,ml-model-2,2026-04-29,99.40239043824701,4,99.00398406374502,6,89.44223107569721,54,99.40239043824701,4,99.32270916334662,3,97.33067729083665,5
KEYS,ml-model-2,2026-04-29,77.88844621513944,112,98.40637450199203,9,85.85657370517929,72,99.20318725099602,5,81.99203187250995,79,83.58565737051792,56
MPC,ml-model-2,2026-04-29,72.50996015936255,139,60.95617529880478,197,10.159362549800797,452,99.00398406374502,6,70.199203187251,138,57.72908366533864,190
STX,ml-model-2,2026-04-29,98.40637450199203,9,89.8406374501992,52,95.61752988047809,23,98.80478087649402,7,96.69322709163347,15,96.13545816733067,11
WDC,ml-model-2,2026-04-29,98.60557768924303,8,98.20717131474103,10,88.24701195219123,60,98.60557768924303,8,98.52589641434264,5,96.45418326693226,10
AMAT,ml-model-2,2026-04-29,96.41434262948208,19,96.21513944223108,20,90.2390438247012,50,98.40637450199203,9,96.3745019920319,18,95.1394422310757,15
GLW,ml-model-2,2026-04-29,79.08366533864542,106,84.26294820717132,80,87.05179282868527,66,98.20717131474103,10,80.11952191235059,93,81.71314741035857,69
VLO,ml-model-2,2026-04-29,47.410358565737056,265,82.66932270916335,88,4.581673306772909,480,98.00796812749005,11,54.462151394422314,207,45.896414342629484,276
OXY,ml-model-2,2026-04-29,50.79681274900398,248,9.760956175298805,454,21.91235059760956,393,97.80876494023904,12,42.589641434262944,290,36.81274900398407,333
MU,ml-model-2,2026-04-29,97.41035856573706,14,100.0,1,88.04780876494024,61,97.60956175298804,13,97.92828685258965,9,96.05577689243029,12
EOG,ml-model-2,2026-04-29,66.93227091633466,167,40.23904382470119,301,12.94820717131474,438,97.41035856573706,14,61.59362549800797,175,50.79681274900398,244
CVX,ml-model-2,2026-04-29,13.545816733067728,435,22.50996015936255,390,3.187250996015936,487,97.21115537848605,15,15.338645418326692,450,13.266932270916332,466
